!SIL	SIL
%	P AH R S EY N T
1	EY K
1	W AH N
10	DH AH S
10	T EH N
100	HH AH N D R EH D
100	S OW
1000	EY K HH AH JH AA R
1000	HH AH JH AA R
1000	TH AW Z AH N D
1000	W AH N TH AW Z AH N D
102	EY K S OW DH OW
102	HH AH N D R EH D AE N D T UW
11	G Y AA R AA
11	G Y AA R AH HH
11	IH L EY W EY N
1180	W AH N TH AW Z AH N D W AH N HH AH N D R EH D EY T IY
12	B AA R AA
12	B AA R AH HH
12	T W EH L W
12th	T W EH L W TH
13	TH AH R T IY N
13	TH EY R AA
13	TH EY R AH HH
14	CH AO DH AA
14	CH AO DH AH HH
14	F OW R T IY N
15	F IH F T IY N
15	P AH N DH R AA
15	P AH N DH R AH HH
16	S IH K S T IY N
16	S OW L AA
16	S OW L AH HH
17	S AH TH R AA
17	S AH TH R AH HH
17	S EH V EH N T IY N
17	S EH W EH N T IY N
1744	S EH W EH N T IY N F AO R T IY F OW R
1744	S EH W EH N T IY N F OW R T IY F OW R
1744	W AH N S EH W EH N F OW R F OW R
18	AH T HH AA R AA
18	AH T HH AA R AH HH
18	EY T IY N
1818	W AH N EY T W AH N EY T
1880	EY T IY N EY T IY
1880	W AH N EY T EY T Z IY R OW
18th	EY T IY N TH
19	N AY N T IY N
19	UH N N IH S
1942	N AY N T IY N F AO R T IY T UW
1942	N AY N T IY N F OW R T IY T UW
1942	W AH N N AY N F OW R T UW
1944	N AY N T IY N F AO R T IY F OW R
1944	N AY N T IY N F OW R T IY F OW R
1944	W AH N N AY N F OW R F OW R
1AA	AA
1D	D
1Dh	D HH
1II	IY
1N	N N
1OO	AO
1SIL	SIL
1T	T
1Th	T HH
1UU	UW
1aa	AH
1ae	AE
1aw	AW
1ay	AY
1b	B
1bh	B HH
1c	CH
1ch	CH HH
1d	DH
1dh	DH HH
1ee	EY
1ex	EH
1f	F
1g	G
1gh	G HH
1hh	HH
1ii	IH
1j	JH
1jh	JH HH
1k	K
1kh	K HH
1l	L
1m	M
1n	N
1oo	OW
1oy	OY
1p	P
1ph	P HH
1r	R
1s	S
1sh	SH
1st	F AH R S T
1t	TH
1th	TH
1uu	UH
1w	W
1y	Y
1z	Z
1zh	Z HH
2	DH OW
2	T UW
20	B IY S
20	T W EH N T IY
2005	T UW TH AW Z AH N D F AY W
2005	T UW Z IY R OW Z IY R OW F AY W
21	IH K K IY S
21	T W EH N T IY W AH N
22	T W EH N T IY T UW
22nd	T W EH N T IY S EH K AH N D
23	T W EH N T IY TH R IY
23	TH EY IY S
23	TH EY W IY S
24	CH OW B IY S
24	T W EH N T IY F OW R
25	P AH CH CH IH S
25	T W EH N T IY F AY V
25	T W EH N T IY F AY W
26	CH HH AH B B IY S
26	T W EH N T IY S IH K S
27	S AH TH TH AA IY S
27	S AH TH TH AA W IY S
27	T W EH N T IY S EH W EH N
28	AH T T HH AA IY S
28	T W EH N T IY EY T
29	G UH N N TH IY S
29	T W EH N T IY N AY N
29	UH N TH IY S
29	W AH N TH IY S
2nd	S EY K AH N D
3	TH IY N
3	TH R IY
30	TH AH R T IY
30	TH IY S
31	IH K AH TH IY S
31	TH AH R T IY W AH N
32	B AH TH TH IY S
32	TH AH R T IY T UW
33	TH AH R T IY TH R IY
33	TH EY TH IY S
34	CH AO TH IY S
34	TH AH R T IY F OW R
35	P EY TH IY S
35	TH AH R T IY F AY V
35	TH AH R T IY F AY W
36	CH HH AH TH TH IY S
36	TH AH R T IY S IH K S
37	S EY TH IY S
37	TH AH R T IY S EH W EH N
38	AH D TH IY S
38	TH AH R T IY EY T
39	TH AH R T IY N AY N
39	UH N TH AA L IY S
3rd	TH AH R D
4	CH AA R
4	F OW R
40	CH AA L IY S
40	F AO R T IY
41	F AO R T IY W AH N
41	IH K TH AA L IY S
42	B AH Y AA L IY S
42	F AO R T IY T UW
43	F AO R T IY TH R IY
43	TH EY TH AA L IY S
43	TH EY Y AA L IY S
44	CH AH W AA L IY S
44	F AO R T IY F OW R
45	F AO R T IY F AY V
45	F AO R T IY F AY W
45	P EY TH AA L IY S
46	CH HH IH Y AA L IY S
46	F AO R T IY S IH K S
47	F AO R T IY S EY W EY N
47	S EY TH AA L IY S
48	AH D TH AA L IY S
48	F AO R T IY EY T
49	F AO R T IY N AY N
49	UH N CH AA S
4th	F OW R TH
5	F AY W
5	P AA N CH
50	F IH F T IY
500	F AY W HH AH N D R EH D
5000	F AY W TH AW Z AH N D
5000	P AA CH HH AH JH AA R
51	F IH F T IY W AH N
51	IH K Y AA W AH N
52	B AA W AH N
52	F IH F T IY T UW
53	F IH F T IY TH R IY
53	TH IH R P AH N
53	TH R EY P AH N
54	CH AO W AH N
54	F IH F T IY F OW R
55	F IH F T IY F AY V
55	F IH F T IY F AY W
55	P AH CH P AH N
56	CH HH AH P P AH N
56	F IH F T IY S IH K S
57	F IH F T IY S EH V EH N
57	F IH F T IY S EH W EH N
57	S AH TH TH AA W AH N
58	AH T T HH AA W AH N
58	F IH F T IY EY T
59	F IH F T IY N AY N
59	UH N S AH T HH
5th	F IH F TH
6	CH HH EY
6	S IH K S
