!SIL	SIL
10	DH AH S
10	T EH N
12	B AA R AA
12	B AA R AH HH
12	T W EH L W
1AA	AA
1D	D
1Dh	D HH
1II	IY
1N	N N
1OO	AO
1T	T
1Th	T HH
1UU	UW
1aa	AH
1ae	AE
1aw	AW
1ay	AY
1b	B
1bh	B HH
1c	CH
1ch	CH HH
1d	DH
1dh	DH HH
1ee	EY
1ex	EH
1f	F
1g	G
1gh	G HH
1hh	HH
1ii	IH
1j	JH
1jh	JH HH
1k	K
1kh	K HH
1l	L
1m	M
1n	N
1oo	OW
1oy	OY
1p	P
1ph	P HH
1r	R
1s	S
1sh	SH
1t	TH
1th	TH
1uu	UH
1w	W
1y	Y
1z	Z
1zh	Z HH
2	DH OW
2	DH UH IY
2	T UW
300	TH R IY HH AH N D R EH D
33	TH AH R T IY TH R IY
33	TH EY TH IY S
50	F IH F T IY
50	P AH CH AA S
SIL	SIL
a	AH
a	EY
able	EY B AH L
abound	AH B AW N D
abounded	AH B AW N D EH D
about	AH B AW T
above	AH B AW
absence	AE B S EH N S
accident	AE K S IH D EH N T
accidents	AE K S IH D EH N T S
according	AH K AO R D IH NG
across	AH K R AO S
act	AE K T
actively	AE K T IH V L IY
actively	AE K T IH W L IY
actually	AE K CH UH L IY
admitted	AE D M IH T EH D
advice	AH D V AY S
advice	AH D W AY S
advised	AH D V AY Z D
advised	AH D W AY Z D
afford	AH F OW R D
afraid	AH F R EY D
africa	AE F R IH K AA
after	AA F T AH R
afternoon	AA F T AH N UW N
afternoon	AA F T AH R N UW N
again	AH G EY N
agent	EY JH AH N T
agent's	EY JH AH N T S
agree	AH G R IY
agreed	AH G R IY D
aid	EY D
aims	EY M S
airs	EY R S
aks	AA K S
aksed	AA K S D
alabama	AE L AH B AE M AA
alas	AH L AA S
all	AO L
allah	AH L L AA HH
almost	AO L M OW S T
alone	AH L OW N
along	AH L AO NG
already	AO L R EH D IY
also	AO L S OW
although	AO L DH OW
always	AO L W EH Z
am	AE M
amaze	AH M EY Z
amazed	AH M EY Z D
america	AH M EH R IH K AA
an	AE N
and	AE N D
anger	AE NG G AH R
angrier	AE NG R IY AH R
angry	AE NG R IY
animal	AE N IH M AH L
animals	AE N IH M AH L S
animals	AE N IH M AH L Z
anna	AE N AA
annie	AE N IY
annoyed	AH N OY D
annoying	AH N OY IH NG
another	AH N AH DH AH R
answer	AA N S AH R
answered	AA N S AH R D
any	EH N IY
anymore	EH N IY M OW R
anything	EH N IY TH IH NG
anyway	EH N IY W EY
apple	AE P AH L
applied	AH P L AY D
apply	AH P L AY
appoint	AH P OY N T
appointed	AH P OY N T EH D
approach	AH P R OW CH
approached	AH P R OW CH D
approve	AH P R UW V
approve	AH P R UW W
april	EY P R IH L
are	AA R
aren't	AA R AH N T
arjun	AA R JH UH N
arjun	AH R JH UH N
around	AH R AW N D
arrested	AH R EH S T EH D
arrived	AH R AY V D
arrived	AH R AY W D
as	AE Z
asha	AA SH AA
asha's	AA SH AA Z
ashamed	AH SH EY M D
asia	EY SH IH AA
ask	AA S K
asked	AA S K D
asleep	AH S L IY P
assistant	AH S IH S T EH N T
assume	AH Z Y UH M
